EngSpeed,EngOilPress,EngCoolantTemp,EngFuelRate,BatteryPotential_PowerInput1,ActualEngPercentTorque,BarometricPress,EngPercentLoadAtCurrentSpeed,NominalFrictionPercentTorque,EngsDesiredOperatingSpeed,EngIntakeManifold1Temp,EngIntakeManifold1Press
0.765328692,-0.125062111,-0.637960163,0.530225384,0.167047513,0.304332333,0.744273092,0.250461782,0.412277933,0.368643906,-0.109166436,0.900833097
0.530796108,-0.212209038,0.119510008,-0.344035545,0.167047513,0.404685639,0.852963997,0.898102541,-0.129814274,0.679220548,0.471700791,0.900833097
-0.809943157,-0.999320082,0.876980179,-1.242815625,0.167047513,-0.6061155,-0.896234968,0.03458153,0.395337551,0.666859289,-0.225339881,-0.105060626
-0.808907475,-0.791561809,0.119510008,-0.880391944,0.167047513,-0.545548188,-0.780298003,-0.828939482,0.022649159,0.671494761,-0.225339881,-0.167928984
-0.809474634,-0.752519985,0.876980179,-0.842080773,0.167047513,-0.464791773,-0.577408313,-0.828939482,-0.417800758,0.649862557,-1.038553998,-0.105060626
1.86216492,0.595120093,-0.637960163,1.125580987,0.167047513,0.919642385,2.436952787,0.03458153,-0.053582557,0.688491492,-0.690033662,1.570381106
0.261247619,-0.188505074,0.876980179,0.954713163,0.167047513,0.392572177,0.871803754,0.03458153,0.446158696,0.691581807,-0.457686772,0.27214952
-0.809129407,-0.791561809,0.119510008,-0.891119072,0.167047513,-0.585926396,-0.809282244,-0.828939482,0.098880876,0.686946335,-0.225339881,-0.105060626
-0.806910089,-0.619359481,-0.637960163,-0.598421723,0.167047513,-0.202333421,-0.896234968,0.03458153,0.03111935,0.637501298,0.471700791,-0.105060626
-0.021394846,-0.060921973,0.119510008,0.732508369,0.167047513,0.417983529,0.152994569,-0.181298723,0.166642402,0.669949603,-0.922380553,0.335017877
-0.809129407,-0.837575386,0.119510008,-0.958546733,0.167047513,-0.6061155,-0.85565703,-0.828939482,0.285225072,0.679220548,-0.457686772,-0.105060626
0.840341638,0.736646702,0.119510008,2.489458686,0.167047513,0.824161382,1.057302899,1.329863046,0.435994467,0.659133501,0.936394572,0.52362295
1.155040917,-0.023971676,-0.637960163,1.438966368,0.167047513,0.595809157,2.012333651,-0.397178976,-0.095933511,0.662223816,-0.341513326,0.649359666
1.198588866,1.158437829,0.876980179,2.500952038,0.167047513,0.903491101,1.190630409,0.466342035,-0.290747898,0.645227085,0.936394572,1.843858462
-0.809943157,-0.654915427,0.119510008,-0.646693799,0.167047513,-0.315392403,-0.964347935,0.03458153,0.208993355,0.669949603,0.007007009,-0.105060626
0.856838567,-0.212209038,0.119510008,0.062829094,0.167047513,0.46955996,1.42250434,-0.397178976,0.352986598,0.679220548,-1.270900889,0.649359666
-0.809178725,-0.783195704,0.119510008,-0.884223061,0.167047513,-0.545548188,-0.577408313,-0.828939482,-0.31615847,0.69621728,-0.225339881,-0.105060626
0.676260067,0.324616032,0.119510008,1.636652012,0.167047513,0.671639431,1.010928113,0.03458153,0.081940494,0.640591612,-0.109166436,0.27214952
0.931309013,0.010887095,0.876980179,0.314916602,0.167047513,0.532253857,1.300770526,0.03458153,0.356374674,0.691581807,-0.225339881,0.775096381
-0.810017134,-0.725330144,0.119510008,-0.773120664,0.167047513,-0.484980877,-0.480311105,-0.828939482,-0.654966099,0.679220548,-1.270900889,-0.105060626
-0.808636225,-0.760188915,-0.637960163,-0.84591189,0.167047513,-0.493056518,-0.480311105,-1.260699987,-0.654966099,0.682310863,-1.967941561,-0.167928984
-0.809080089,-0.755308687,0.119510008,-0.859703911,0.167047513,-0.444602669,-0.751313761,-0.397178976,-0.333098851,0.652952872,0.471700791,-0.167928984
-0.808932134,-0.889166367,0.876980179,-1.0719478,0.167047513,-0.6061155,-0.693345279,-0.828939482,0.242874118,0.671494761,-0.573860217,-0.105060626
0.435538052,-0.092294867,0.876980179,-0.340970652,0.167047513,0.472790216,0.563121584,0.03458153,0.37839717,0.674585076,-0.922380553,1.152306527
-0.809351339,-0.769949371,0.119510008,-0.870431039,0.167047513,-0.525359085,-0.809282244,-0.397178976,0.039589541,0.649862557,0.123180455,-0.105060626
-0.809080089,-0.714872513,0.119510008,-0.793042473,0.167047513,-0.428451385,-0.461471348,-1.260699987,0.065000113,0.730210743,-2.781155678,-0.105060626
1.618360518,1.937182768,-0.637960163,2.592132625,0.167047513,1.37510857,2.610858235,-0.397178976,0.783272287,0.686946335,0.471700791,2.912620543
0.69509961,0.024830603,-0.637960163,0.356292667,0.167047513,0.512630048,1.200774893,-0.397178976,0.336046216,0.682310863,-1.561334502,0.555057129
0.510871565,-0.459706311,0.119510008,-0.372385812,0.167047513,0.064162752,0.552977099,0.03458153,0.420748124,0.628230353,0.123180455,0.837964739
-0.80959793,-0.919842085,0.876980179,-1.103362961,0.167047513,-0.6061155,-0.72232952,-0.397178976,0.056529922,0.669949603,0.2393539,-0.105060626
-0.810387021,-0.781801353,0.119510008,-0.873495933,0.167047513,-0.545548188,-0.519439831,-0.828939482,-0.163695037,0.652952872,-0.573860217,-0.105060626
-0.80986918,-0.816660124,0.119510008,-0.957014287,0.167047513,-0.589964217,-0.72232952,-0.828939482,-0.256867135,0.662223816,-1.038553998,-0.105060626
-0.428713659,-0.906595752,0.119510008,-1.019844607,0.167047513,-0.283089837,-0.461471348,1.329863046,-0.265337325,0.645227085,0.820221127,-0.042192269
2.016185582,1.048981289,-2.152900505,1.738559728,0.167047513,1.242668048,2.089141891,0.466342035,0.903548995,0.657588344,-0.457686772,2.661147112
-0.808636225,-0.720449916,-0.637960163,-0.740173057,0.167047513,-0.363846253,-0.538279588,-0.828939482,-0.646495908,0.676130233,-1.73559467,-0.105060626
0.856986522,1.144494321,0.876980179,4.017308199,0.167047513,0.980748073,0.408055893,0.466342035,-0.002761413,0.657588344,0.123180455,0.586491308
-0.809721225,-0.889863542,0.119510008,-1.06505179,0.167047513,-0.6061155,-0.809282244,-0.397178976,-0.028171985,0.69621728,0.123180455,-0.105060626
0.408462373,0.445227379,0.876980179,3.606612442,0.167047513,0.443717907,0.813835271,0.898102541,-0.180635418,0.640591612,0.2393539,0.146412804
-0.809351339,-0.53430408,0.876980179,-0.454371719,0.167047513,-0.109005923,-0.92521921,0.466342035,0.200523165,0.401092212,0.704047681,-0.105060626
-0.809425316,-0.790167458,0.876980179,-0.898015083,0.167047513,-0.545548188,-0.896234968,-0.397178976,0.153090097,0.671494761,0.587874236,-0.105060626
-0.809129407,-0.714872513,0.876980179,-0.726381035,0.167047513,-0.396148819,-0.72232952,-0.828939482,0.242874118,0.703943067,-1.038553998,-0.105060626
1.609853133,2.269038266,0.422498076,3.795103405,0.167047513,1.550080805,1.544238153,0.466342035,0.640973083,0.657588344,0.704047681,3.415567404
-0.809400657,-0.845244316,0.119510008,-0.950118276,0.167047513,-0.6061155,-1.012171934,0.03458153,0.412277933,0.676130233,0.007007009,-0.105060626
0.288668524,-0.438791048,0.119510008,0.409162083,0.167047513,0.306970376,0.697898306,0.03458153,-0.189105609,0.663768974,-0.806207108,0.083544447
1.02599991,0.510064692,-2.152900505,0.616808632,0.167047513,0.830002763,1.85726796,-0.397178976,0.480039459,0.686946335,0.123180455,1.466648316
-0.808882816,-0.790864633,-0.637960163,-0.880391944,0.167047513,-0.55227789,-0.606392555,-0.828939482,0.081940494,0.652952872,-0.225339881,-0.167928984
-0.810313043,-0.887074841,0.876980179,-1.044363757,0.167047513,-0.6061155,-0.983187692,-0.397178976,0.344516407,0.682310863,-0.225339881,-0.105060626
0.628174846,-0.003056414,-0.637960163,1.473446423,0.167047513,0.487380209,0.779054182,0.466342035,-0.146754655,0.634410983,0.704047681,0.397886235
2.191610333,1.375259383,0.119510008,2.184501762,0.167047513,1.335268739,2.534049995,0.466342035,0.403807742,0.663768974,0.007007009,2.849752185
-0.392810027,-0.354432823,0.119510008,0.078153563,0.167047513,0.001065072,-0.229597417,-0.397178976,0.022649159,0.686946335,-0.573860217,0.083544447
0.68131518,-0.837575386,-0.637960163,-0.564707892,0.167047513,0.305086059,1.509457064,-0.397178976,0.369926979,0.682310863,-0.690033662,0.712228024
-0.809523952,-0.854307596,0.876980179,-1.026740618,0.167047513,-0.573812934,-0.674505522,-1.260699987,-0.095933511,0.700852752,-1.503247779,-0.105060626
0.349773744,-0.61796513,0.119510008,-0.667381831,0.167047513,0.078968095,0.263134686,0.03458153,0.369926979,0.671494761,-0.225339881,0.963701454
-0.809844521,-0.893349419,0.119510008,-1.076545141,0.167047513,-0.6061155,-0.480311105,-0.828939482,0.124291448,0.699307594,-1.154727444,-0.105060626
-0.80878418,-0.89474377,0.119510008,-1.047428651,0.167047513,-0.6061155,-0.867250727,0.03458153,0.276754881,0.663768974,0.587874236,-0.105060626
-0.80932668,-0.783892879,0.119510008,-0.923300456,0.167047513,-0.557661651,-0.954203451,0.466342035,-0.112873892,0.662223816,0.471700791,-0.105060626
1.003856049,-0.633302989,0.119510008,-0.643628905,0.167047513,0.219753446,1.586265303,0.03458153,0.208993355,0.632865825,-0.573860217,0.837964739
0.076205824,-0.087414639,-0.637960163,1.672664513,0.167047513,0.340080506,0.35008741,0.03458153,0.344516407,0.663768974,0.471700791,0.397886235
1.068635473,-0.1480689,-0.637960163,1.359279132,0.167047513,0.217599942,1.21961465,0.466342035,0.065000113,0.659133501,0.355527345,0.52362295
1.00220389,-0.370467858,-0.637960163,-0.052870643,0.167047513,0.435103889,1.074693444,0.466342035,0.065000113,0.674585076,0.355527345,0.837964739
2.459186095,0.216553842,0.876980179,1.947738724,0.167047513,0.86634315,2.900700649,-1.260699987,-0.011231604,0.688491492,-1.619421225,1.843858462
